#FirstName	NameType=Giv		Noun Prop	First name	სახელი				
LastName	NameType=Sur		Noun Prop	Last name	გვარი		Шьынқәба, Гәлиа		
Top	NameType=Geo		Noun Prop	Toponym	ტოპო				
#Area	NameType=Geo		Noun Prop Top	Area	მხარე				
Place	NameType=Geo		Noun Prop Top	Place	ადგილი	Атыҧ			
Hydr	NameType=Geo		Noun Prop Top	Hydronym	ჰიდრ				
Anthr	NameType=Prs		Noun Prop	Anthroponym	ანთროპ	Ахьӡ			
#Zoon	NameType=Geo		Noun Prop	Zoonym	ზოონ				
Org	NameType=Oth		Noun Prop	Organization	ორგ	Аиҿкаара			
Symbol	SYM	x		Symbol	სიმბ				
#<Null>			V	Null frame	<Null>	ნულოვანი			
#<S>			V	Intransitive absolute	<S>	გარდაუვალი აბსოლუტური			
#<S-DO>			V	Transitive absolute	<S-DO>	გარდამავალი აბსოლუტური			
